cusId,resId,revId
o8iJvut6H0_2tal6oNdPhw,_jFu4tg1wFOb_qqMThXruA,VEylA_sxOoT9YUObk94LUA
-ySof7epYgyIRybJJUp_4A,_jFu4tg1wFOb_qqMThXruA,ZTSOkUqlp_10GCLU_X2ong
J_75dxXGSuINp36Na72OiQ,_JKx3EHIsK-65GiSNZujXA,ivN5-igOOxG5YAb05R4gGg
THNEexNuijAWQAuH-gHP1Q,_JKx3EHIsK-65GiSNZujXA,OuYFyJayFPqBJbDgzIIekg
J84FICbDVoSe7ZXn5lnQNw,_JKx3EHIsK-65GiSNZujXA,2bk9JMVUvxBhhhkFtiy_-A
WRrdqGfjgydRwGUAAYShgg,_LMy_Em2cTUtZy-jgkH1hQ,6VxcL5Donep4hSbUElZ0mg
ovwXBx6ZwGWgRLJkrat-tQ,_LMy_Em2cTUtZy-jgkH1hQ,ocATbhazeMU4JfQZ1XPUnQ
EiT_pSuIb08oRn4CfwfMJg,_LMy_Em2cTUtZy-jgkH1hQ,hKWxiKI883QM3mCsyNIr2w
VMjZswnGpa3LPLJncJ0NJw,_OSgjF7OYuhbUhzcdL5ggA,5FlNB3pCJwOeJqX3TKnqYA
WyTCFjtOdXmquO8zVTJ6GA,_OSgjF7OYuhbUhzcdL5ggA,B-H2G512bq6h-gFH45awNw
ZNYd8ftrQ2YCXGEXwfzPmw,_R-0Js3p7_Yhie1mcmx4FQ,4hc841kY5tDhhsZu3NcYAQ
FpmGqeND23CzI6HKTp_dsw,_R-0Js3p7_Yhie1mcmx4FQ,4RDc2tfMuN1IysfMl0VwTg
7nl0DQycY-3NI_h4-c7Ymw,_R-0Js3p7_Yhie1mcmx4FQ,hXFRP8P-0AH-EwsnZjE8jg
lOtfciV-gTkJCIBpOshx0g,_RtE2hgTO9YKzp6o9aXVYw,16_RDx7fepSRNl7b8mVPAA
eHlJdvdjJTILjuDUHOX8bQ,_RtE2hgTO9YKzp6o9aXVYw,PhEdHCgZyNH6-wW8NtUW2Q
OEclCE5Kpmh47DGswRpZ4w,_RtE2hgTO9YKzp6o9aXVYw,VNGrlpC4iLnSGTZbgMwB_Q
SzH8Xvlxp5iXIKidJHFL0A,_RTrvW7KC9KiWUIjQbnP4w,xn3esMQBruSSHQyLPHhDZA
